Timestamp,Message,Elapsed Time (µs)
2024-11-23 16:02:58,Down,
2024-11-23 16:03:02,Up,3990401
2024-11-23 16:03:04,Down,
2024-11-23 16:03:08,Up,3987324
2024-11-23 16:03:10,Down,
2024-11-23 16:03:14,Up,3987894
2024-11-23 16:03:16,Down,
2024-11-23 16:03:20,Up,3994486
2024-11-23 16:03:22,Down,
2024-11-23 16:03:26,Up,3992269
2024-11-23 16:03:28,Down,
2024-11-23 16:03:32,Up,3985226
2024-11-23 16:03:34,Down,
2024-11-23 16:03:38,Up,3980038
2024-11-23 16:03:40,Down,
2024-11-23 16:03:44,Up,3993849
2024-11-23 16:03:46,Down,
2024-11-23 16:03:50,Up,3986868
2024-11-23 16:03:52,Down,
2024-11-23 16:03:56,Up,3983570
2024-11-23 16:03:58,Down,
2024-11-23 16:04:02,Up,3990835
2024-11-23 16:04:04,Down,
2024-11-23 16:04:08,Up,3983897
2024-11-23 16:04:10,Down,
2024-11-23 16:04:14,Up,3995092
2024-11-23 16:04:16,Down,
2024-11-23 16:04:20,Up,3990965
2024-11-23 16:04:22,Down,
2024-11-23 16:04:26,Up,3978639
2024-11-23 16:04:28,Down,
2024-11-23 16:04:32,Up,3983838
2024-11-23 16:04:34,Down,
2024-11-23 16:04:38,Up,3984987
2024-11-23 16:04:40,Down,
2024-11-23 16:04:44,Up,3990661
2024-11-23 16:04:46,Down,
2024-11-23 16:04:50,Up,3980486
2024-11-23 16:04:52,Down,
