Timestamp,Event,Sleep Duration (ms)
2025-01-15 17:34:15.637718,D,
2025-01-15 17:35:45.193466,U,89556
2025-01-15 17:36:33.371413,D,
2025-01-15 17:36:43.457797,U,10086
2025-01-15 17:36:43.515222,D,
2025-01-15 17:37:58.356808,U,74842
2025-01-15 17:38:51.128819,D,
2025-01-15 17:39:06.189778,U,15061
2025-01-15 17:39:06.248534,D,
2025-01-15 17:40:16.193304,U,69945
2025-01-15 17:41:08.873512,D,
2025-01-15 17:41:18.958560,U,10085
2025-01-15 17:41:19.017033,D,
2025-01-15 17:42:33.940797,U,74924
2025-01-15 17:43:26.626338,D,
2025-01-15 17:43:41.683524,U,15057
2025-01-15 17:43:41.741053,D,
2025-01-15 17:44:51.671340,U,69930
2025-01-15 17:45:44.285581,D,
2025-01-15 17:45:54.378935,U,10093
2025-01-15 17:45:54.436607,D,
2025-01-15 17:47:09.336054,U,74899
2025-01-15 17:48:01.990570,D,
2025-01-15 17:48:12.076807,U,10086
2025-01-15 17:48:12.135392,D,
2025-01-15 17:49:27.010344,U,74875
2025-01-15 17:50:19.754732,D,
2025-01-15 17:51:49.391499,U,89637
2025-01-15 17:52:37.534811,D,
2025-01-15 17:52:52.594525,U,15060
2025-01-15 17:52:52.651911,D,
2025-01-15 17:54:02.586912,U,69935
