Timestamp,Event,Sleep Duration (ms)
2025-01-14 18:55:58.982093,D,
2025-01-14 18:56:09.066713,U,10085
2025-01-14 18:56:09.124691,D,
2025-01-14 18:56:34.206324,U,25082
2025-01-14 18:56:50.381033,D,
2025-01-14 18:57:00.467540,U,10087
2025-01-14 18:57:00.525704,D,
2025-01-14 18:57:25.600629,U,25075
2025-01-14 18:57:41.821180,D,
2025-01-14 18:57:51.909303,U,10088
2025-01-14 18:57:51.967611,D,
2025-01-14 18:58:17.029092,U,25061
2025-01-14 18:58:33.245374,D,
2025-01-14 18:58:43.334038,U,10089
2025-01-14 18:58:43.391627,D,
2025-01-14 18:59:08.472814,U,25081
2025-01-14 18:59:24.643587,D,
2025-01-14 18:59:34.730473,U,10087
2025-01-14 18:59:34.788736,D,
2025-01-14 18:59:59.857548,U,25069
