Timestamp,Device,Message
2025-01-14 18:00:14.327897,Gateway,BTX
2025-01-14 18:00:14.392196,Nodo,BRX
2025-01-14 18:00:17.302659,Nodo,RTX
2025-01-14 18:00:17.325030,Gateway,RRX
2025-01-14 18:00:24.684766,Gateway,STX
2025-01-14 18:00:24.719717,Nodo,SRX
2025-01-14 18:00:34.894265,Gateway,DRX
2025-01-14 18:00:34.906319,Nodo,DTX
2025-01-14 18:01:05.744888,Gateway,BTX
2025-01-14 18:01:05.799991,Nodo,BRX
2025-01-14 18:01:08.107412,Nodo,RTX
2025-01-14 18:01:08.139596,Gateway,RRX
2025-01-14 18:01:16.106564,Gateway,STX
2025-01-14 18:01:16.174543,Nodo,SRX
2025-01-14 18:01:26.369258,Gateway,DRX
2025-01-14 18:01:26.369258,Nodo,DTX
2025-01-14 18:01:57.169244,Gateway,BTX
2025-01-14 18:01:57.238535,Nodo,BRX
2025-01-14 18:02:00.452753,Nodo,RTX
2025-01-14 18:02:00.483687,Gateway,RRX
2025-01-14 18:02:07.525375,Gateway,STX
2025-01-14 18:02:07.571803,Nodo,SRX
2025-01-14 18:02:17.733194,Gateway,DRX
2025-01-14 18:02:17.758511,Nodo,DTX
2025-01-14 18:02:48.593081,Gateway,BTX
2025-01-14 18:02:48.660495,Nodo,BRX
