Timestamp,Event,Value
1735576511.0125358,CAD operativo,170
1735576511.0205474,CAD operativo,179
1735576511.028548,CAD operativo,187
1735576511.037608,CAD operativo,195
1735576511.0456161,CAD operativo,204
1735576511.0533817,CAD operativo,212
1735576511.0628533,CAD operativo,220
1735576511.0709636,CAD operativo,229
1735576511.0790412,CAD operativo,237
1735576511.0864615,CAD operativo,245
1735576511.0961957,CAD operativo,254
1735576511.1042202,CAD operativo,262
1735576511.1117485,CAD operativo,270
1735576511.1213024,CAD operativo,279
1735576511.1289904,CAD operativo,287
1735576511.1376262,CAD operativo,295
1735576511.1457121,CAD operativo,303
1735576511.1539328,CAD operativo,312
1735576511.16179,CAD operativo,320
1735576511.1712275,CAD operativo,328
1735576511.1792977,CAD operativo,337
1735576511.1874564,CAD operativo,345
1735576511.1954672,CAD operativo,353
1735576511.2034144,CAD operativo,362
1735576511.2117171,CAD operativo,370
1735576511.219578,CAD operativo,378
1735576511.2290592,CAD operativo,386
1735576511.2373989,CAD operativo,395
1735576511.2454438,CAD operativo,403
1735576511.2537222,CAD operativo,411
1735576511.2619987,CAD operativo,420
1735576511.2697258,CAD operativo,428
1735576511.278185,CAD operativo,436
1735576511.2865405,CAD operativo,445
1735576511.2949991,CAD operativo,453
1735576511.303517,CAD operativo,461
1735576511.3116415,CAD operativo,470
1735576511.3200045,CAD operativo,478
1735576511.3284454,CAD operativo,486
1735576511.3372636,CAD operativo,494
1735576511.3455157,CAD operativo,503
1735576511.3537245,CAD operativo,511
1735576511.361574,CAD operativo,519
1735576511.3702435,CAD operativo,528
1735576511.3777046,CAD operativo,536
1735576511.3861907,CAD operativo,544
1735576511.3947327,CAD operativo,553
1735576511.4030058,CAD operativo,561
1735576511.4114516,CAD operativo,569
1735576511.4199758,CAD operativo,577
1735576511.427246,CAD operativo,586
1735576511.4357295,CAD operativo,594
1735576511.4447267,CAD operativo,602
1735576511.4527285,CAD operativo,611
1735576511.4611282,CAD operativo,619
1735576511.4691288,CAD operativo,627
1735576511.477419,CAD operativo,636
